,state,city,cityPopulation,populationBySex,medianAge,zipCodes,medianIncome,costOfLiving
10,Alabama,Monroeville-Alabama.html,"Population in 2017: 5,927 (75% urban, 25% rural). Population change since 2000: -13.6%
 

","Males: 2,502  (42.2%)Females: 3,425  (57.8%)",Median resident age:41.0 yearsAlabama median age:38.9 years,Zip codes: 36460.,"Estimated median household income in 2017: $26,877 (it was $28,229 in 2000)
Monroeville:$26,877AL:$48,123
Estimated per capita income in 2017: $17,809 (it was $17,070 in 2000)
Monroeville city income, earnings, and wages data
Estimated median house or condo value in 2017: $115,949 (it was $74,100 in 2000)
Monroeville:$115,949AL:$141,300
Mean prices in 2017: all housing units: $114,583; detached houses: $121,046; mobile homes: $30,861","March 2019 cost of living index in Monroeville: 78.8 (low, U.S. average is 100)"
11,Alabama,Pike-Road-Alabama.html,"Population in 2017: 9,322 (32% urban, 68% rural). Population change since 2000: +2907.1%","Males: 4,667  (50.1%)Females: 4,655  (49.9%)",Median resident age:39.5 yearsAlabama median age:38.9 years,"Zip codes: 36013, 36052.Pike Road Zip Code Map","Estimated median household income in 2017: $100,692 (it was $86,492 in 2000)
Pike Road:$100,692AL:$48,123
Estimated per capita income in 2017: $38,446 (it was $36,912 in 2000)
Pike Road city income, earnings, and wages data
Estimated median house or condo value in 2017: $269,933 (it was $315,400 in 2000)
Pike Road:$269,933AL:$141,300
Mean prices in 2017: all housing units: $369,884; detached houses: $374,941; mobile homes: $210,250","March 2019 cost of living index in Pike Road: 83.9 (less than average, U.S. average is 100)"
12,Alabama,Albertville-Alabama.html,"Population in 2017: 21,392 (87% urban, 13% rural). Population change since 2000: +24.0%","Males: 10,188  (47.6%)Females: 11,204  (52.4%)",Median resident age:31.5 yearsAlabama median age:38.9 years,"Zip codes: 35950, 35951, 35957, 35976.Albertville Zip Code Map","Estimated median household income in 2017: $37,959 (it was $31,893 in 2000)
Albertville:$37,959AL:$48,123
Estimated per capita income in 2017: $19,189 (it was $16,336 in 2000)
Albertville city income, earnings, and wages data
Estimated median house or condo value in 2017: $117,701 (it was $72,900 in 2000)
Albertville:$117,701AL:$141,300
Mean prices in 2017: all housing units: $185,101; detached houses: $198,580; townhouses or other attached units: $239,499; in 2-unit structures: $45,933; in 3-to-4-unit structures: $66,903; in 5-or-more-unit structures: $174,397; mobile homes: $86,381; occupied boats, rvs, vans, etc.: $10,150","March 2019 cost of living index in Albertville: 78.8 (low, U.S. average is 100)"
13,Alabama,Simcoe-Alabama.html,"Population in July 2007: 7,557.","Males: 3,808  (50.4%)Females: 3,749  (49.6%)",Median resident age:34.8 yearsAlabama median age:35.8 years,Zip code: 35058,"Estimated median household income in 2017: $47,107 (it was $33,733 in 2000)
Simcoe:$47,107AL:$48,123
Estimated per capita income in 2017: $19,405 (it was $14,853 in 2000)
Simcoe CCD income, earnings, and wages data
Estimated median house or condo value in 2017: $122,130 (it was $77,800 in 2000)
Simcoe:$122,130AL:$141,300
Mean prices in 2017: all housing units: $174,229; detached houses: $195,880; townhouses or other attached units: $205,930; in 2-unit structures: $81,040; in 5-or-more-unit structures: $498,176; mobile homes: $78,904; occupied boats, rvs, vans, etc.: $306,128","March 2019 cost of living index in Simcoe: 84.5 (less than average, U.S. average is 100)"
14,Alabama,Smiths-Alabama.html,"Population in July 2007: 24,633.","Males: 12,220  (49.6%)Females: 12,413  (50.4%)",Median resident age:31.8 yearsAlabama median age:35.8 years,Zip codes: 36877.,"Estimated median household income in 2017: $75,222 (it was $43,977 in 2000)
Smiths:$75,222AL:$48,123
Estimated per capita income in 2017: $27,238 (it was $17,608 in 2000)
Smiths CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $162,580 (it was $86,500 in 2000)
Smiths:$162,580AL:$141,300
Mean prices in 2017: all housing units: $210,272; detached houses: $247,412; townhouses or other attached units: $196,179; in 2-unit structures: $61,441; in 3-to-4-unit structures: $150,820; in 5-or-more-unit structures: $142,871; mobile homes: $58,875","March 2019 cost of living index in Smiths: 86.3 (less than average, U.S. average is 100)"
15,Alabama,Enterprise-Alabama.html,"Population in 2017: 28,247 (95% urban, 5% rural). Population change since 2000: +33.4%","Males: 13,691  (48.5%)Females: 14,556  (51.5%)",Median resident age:37.5 yearsAlabama median age:38.9 years,Zip codes: 36330.,"Estimated median household income in 2017: $56,233 (it was $37,661 in 2000)
Enterprise:$56,233AL:$48,123
Estimated per capita income in 2017: $28,765 (it was $20,493 in 2000)
Enterprise city income, earnings, and wages data
Estimated median house or condo value in 2017: $183,872 (it was $80,800 in 2000)
Enterprise:$183,872AL:$141,300
Mean prices in 2017: all housing units: $191,608; detached houses: $195,247; townhouses or other attached units: $186,297; in 3-to-4-unit structures: $77,835; mobile homes: $36,111","March 2019 cost of living index in Enterprise: 82.1 (low, U.S. average is 100)"
16,Alabama,Decatur-Alabama.html,"Population in 2017: 54,405 (95% urban, 5% rural). Population change since 2000: +0.9%
 

","Males: 26,273  (48.3%)Females: 28,132  (51.7%)",Median resident age:39.4 yearsAlabama median age:38.9 years,"Zip codes: 35601, 35603, 35640, 35673.Decatur Zip Code Map","Estimated median household income in 2017: $44,115 (it was $37,192 in 2000)
Decatur:$44,115AL:$48,123
Estimated per capita income in 2017: $25,970 (it was $20,431 in 2000)
Decatur city income, earnings, and wages data
Estimated median house or condo value in 2017: $145,677 (it was $88,700 in 2000)
Decatur:$145,677AL:$141,300
Mean prices in 2017: all housing units: $167,796; detached houses: $161,596; townhouses or other attached units: $294,958; in 3-to-4-unit structures: $100,748; in 5-or-more-unit structures: $125,563; mobile homes: $45,491","March 2019 cost of living index in Decatur: 81.7 (low, U.S. average is 100)"
17,Alabama,Boaz-Alabama.html,"Population in 2017: 9,652 (88% urban, 12% rural). Population change since 2000: +30.2%","Males: 4,839  (50.1%)Females: 4,813  (49.9%)",Median resident age:36.1 yearsAlabama median age:38.9 years,Zip codes: 35956.,"Estimated median household income in 2017: $41,863 (it was $25,699 in 2000)
Boaz:$41,863AL:$48,123
Estimated per capita income in 2017: $21,874 (it was $15,664 in 2000)
Boaz city income, earnings, and wages data
Estimated median house or condo value in 2017: $114,314 (it was $71,900 in 2000)
Boaz:$114,314AL:$141,300
Mean prices in 2017: all housing units: $185,101; detached houses: $198,580; townhouses or other attached units: $239,499; in 2-unit structures: $45,933; in 3-to-4-unit structures: $66,903; in 5-or-more-unit structures: $174,397; mobile homes: $86,381; occupied boats, rvs, vans, etc.: $10,150","March 2019 cost of living index in Boaz: 78.3 (low, U.S. average is 100)"
18,Alabama,Montevallo-Alabama.html,"Population in 2017: 6,636 (88% urban, 12% rural). Population change since 2000: +37.5%","Males: 2,982  (44.9%)Females: 3,654  (55.1%)",Median resident age:28.5 yearsAlabama median age:38.9 years,Zip codes: 35115.,"Estimated median household income in 2017: $37,400 (it was $30,541 in 2000)
Montevallo:$37,400AL:$48,123
Estimated per capita income in 2017: $19,570 (it was $16,468 in 2000)
Montevallo city income, earnings, and wages data
Estimated median house or condo value in 2017: $165,632 (it was $89,800 in 2000)
Montevallo:$165,632AL:$141,300
Mean prices in 2017: all housing units: $254,075; detached houses: $272,220; townhouses or other attached units: $169,692; in 2-unit structures: $85,403; in 3-to-4-unit structures: $63,728; in 5-or-more-unit structures: $114,561; mobile homes: $82,594; occupied boats, rvs, vans, etc.: $39,539","March 2019 cost of living index in Montevallo: 87.8 (less than average, U.S. average is 100)"
19,Alabama,Millbrook-Alabama.html,"Population in 2017: 15,318 (95% urban, 5% rural). Population change since 2000: +47.5%","Males: 6,868  (44.8%)Females: 8,450  (55.2%)",Median resident age:34.4 yearsAlabama median age:38.9 years,Zip codes: 36066.,"Estimated median household income in 2017: $63,861 (it was $43,838 in 2000)
Millbrook:$63,861AL:$48,123
Estimated per capita income in 2017: $30,309 (it was $17,189 in 2000)
Millbrook city income, earnings, and wages data
Estimated median house or condo value in 2017: $148,702 (it was $90,200 in 2000)
Millbrook:$148,702AL:$141,300
Mean prices in 2017: all housing units: $171,298; detached houses: $176,716; townhouses or other attached units: $121,662; mobile homes: $37,004","March 2019 cost of living index in Millbrook: 85.2 (less than average, U.S. average is 100)"
20,Alabama,Satsuma-Alabama.html,"Population in 2017: 6,154 (95% urban, 5% rural). Population change since 2000: +8.2%
 

","Males: 2,938  (47.7%)Females: 3,216  (52.3%)",Median resident age:44.3 yearsAlabama median age:38.9 years,Zip codes: 36572.,"Estimated median household income in 2017: $61,153 (it was $50,496 in 2000)
Satsuma:$61,153AL:$48,123
Estimated per capita income in 2017: $30,797 (it was $23,972 in 2000)
Satsuma city income, earnings, and wages data
Estimated median house or condo value in 2017: $161,550 (it was $93,000 in 2000)
Satsuma:$161,550AL:$141,300
Mean prices in 2017: all housing units: $169,889; detached houses: $176,147; townhouses or other attached units: $225,466; in 2-unit structures: $186,112; in 3-to-4-unit structures: $179,569; in 5-or-more-unit structures: $276,341; mobile homes: $66,532; occupied boats, rvs, vans, etc.: $153,673","March 2019 cost of living index in Satsuma: 84.6 (less than average, U.S. average is 100)"
21,Alabama,Hartselle-Alabama.html,"Population in 2017: 14,373 (92% urban, 8% rural). Population change since 2000: +19.6%
 

","Males: 7,330  (51.0%)Females: 7,043  (49.0%)",Median resident age:40.9 yearsAlabama median age:38.9 years,Zip codes: 35640.,"Estimated median household income in 2017: $58,282 (it was $40,461 in 2000)
Hartselle:$58,282AL:$48,123
Estimated per capita income in 2017: $27,868 (it was $20,727 in 2000)
Hartselle city income, earnings, and wages data
Estimated median house or condo value in 2017: $150,697 (it was $88,300 in 2000)
Hartselle:$150,697AL:$141,300
Mean prices in 2017: all housing units: $169,868; detached houses: $163,812; townhouses or other attached units: $208,076; mobile homes: $50,635","March 2019 cost of living index in Hartselle: 81.3 (low, U.S. average is 100)"
22,Alabama,Lake-Purdy-Alabama.html,"Population in July 2007: 7,362.","Males: 3,755  (51.0%)Females: 3,607  (49.0%)",Median resident age:29.4 yearsAlabama median age:35.8 years,Zip codes: 35242.,"Estimated median household income in 2017: $71,594 (it was $54,349 in 2000)
Lake Purdy:$71,594AL:$48,123
Estimated per capita income in 2017: $51,276 (it was $39,019 in 2000)
Lake Purdy CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $459,956 (it was $302,200 in 2000)
Lake Purdy:$459,956AL:$141,300
Mean prices in 2017: all housing units: $254,075; detached houses: $272,220; townhouses or other attached units: $169,692; in 2-unit structures: $85,403; in 3-to-4-unit structures: $63,728; in 5-or-more-unit structures: $114,561; mobile homes: $82,594; occupied boats, rvs, vans, etc.: $39,539","March 2019 cost of living index in Lake Purdy: 101.1 (near average, U.S. average is 100)"
23,Alabama,Semmes-Alabama.html,"Population in July 2007: 17,710.","Males: 8,843  (49.9%)Females: 8,867  (50.1%)",Median resident age:33.5 yearsAlabama median age:35.8 years,Zip code: 36575,"Estimated median household income in 2017: $54,321 (it was $39,788 in 2000)
Semmes:$54,321AL:$48,123
Estimated per capita income in 2017: $24,336 (it was $16,560 in 2000)
Semmes CCD income, earnings, and wages data
Estimated median house or condo value in 2017: $131,029 (it was $76,500 in 2000)
Semmes:$131,029AL:$141,300
Mean prices in 2017: all housing units: $169,889; detached houses: $176,147; townhouses or other attached units: $225,466; in 2-unit structures: $186,112; in 3-to-4-unit structures: $179,569; in 5-or-more-unit structures: $276,341; mobile homes: $66,532; occupied boats, rvs, vans, etc.: $153,673","March 2019 cost of living index in Semmes: 85.6 (less than average, U.S. average is 100)"
24,Alabama,Athens-Alabama.html,"Population in 2017: 25,616 (87% urban, 13% rural). Population change since 2000: +35.1%
 

","Males: 12,556  (49.0%)Females: 13,060  (51.0%)",Median resident age:40.5 yearsAlabama median age:38.9 years,"Zip codes: 35611, 35613, 35614, 35671, 35756.Athens Zip Code Map","Estimated median household income in 2017: $50,439 (it was $33,980 in 2000)
Athens:$50,439AL:$48,123
Estimated per capita income in 2017: $29,834 (it was $19,315 in 2000)
Athens city income, earnings, and wages data
Estimated median house or condo value in 2017: $155,792 (it was $91,300 in 2000)
Athens:$155,792AL:$141,300","March 2019 cost of living index in Athens: 81.8 (low, U.S. average is 100)"
25,Alabama,Tillmans-Corner-Alabama.html,"Population in 2010: 17,398. Population change since 2000: +10.9%","Males: 8,524  (49.0%)Females: 8,874  (51.0%)",Median resident age:37.7 yearsAlabama median age:38.9 years,Zip codes: 36619.,"Estimated median household income in 2017: $51,502 (it was $34,309 in 2000)
Tillmans Corner:$51,502AL:$48,123
Estimated per capita income in 2017: $24,581 (it was $16,901 in 2000)
Tillmans Corner CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $118,238 (it was $72,300 in 2000)
Tillmans Corner:$118,238AL:$141,300
Mean prices in 2017: all housing units: $135,822; detached houses: $140,393; townhouses or other attached units: $61,366; mobile homes: $54,233","March 2019 cost of living index in Tillmans Corner: 82.9 (low, U.S. average is 100)"
26,Alabama,Meridianville-Alabama.html,"Population in 2010: 6,021. Population change since 2000: +46.2%","Males: 3,055  (50.7%)Females: 2,966  (49.3%)",Median resident age:46.2 yearsAlabama median age:38.9 years,Zip codes: 35759.,"Estimated median household income in 2017: $73,577 (it was $54,766 in 2000)
Meridianville:$73,577AL:$48,123
Estimated per capita income in 2017: $38,142 (it was $23,626 in 2000)
Meridianville CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $178,929 (it was $99,100 in 2000)
Meridianville:$178,929AL:$141,300
Mean prices in 2017: all housing units: $185,604; detached houses: $193,838; mobile homes: $42,064","March 2019 cost of living index in Meridianville: 82.7 (low, U.S. average is 100)"
27,Alabama,Vestavia-Hills-Alabama.html,"Population in 2017: 34,291 (100% urban, 0% rural). Population change since 2000: +40.1%","Males: 16,700  (48.7%)Females: 17,591  (51.3%)",Median resident age:40.0 yearsAlabama median age:38.9 years,Zip codes: 35216.,"Estimated median household income in 2017: $101,429 (it was $70,623 in 2000)
Vestavia Hills:$101,429AL:$48,123
Estimated per capita income in 2017: $56,238 (it was $40,392 in 2000)
Vestavia Hills city income, earnings, and wages data
Estimated median house or condo value in 2017: $387,921 (it was $197,700 in 2000)
Vestavia Hills:$387,921AL:$141,300
Mean prices in 2017: all housing units: $220,319; detached houses: $224,515; townhouses or other attached units: $186,017; in 2-unit structures: $73,610; in 3-to-4-unit structures: $195,934; in 5-or-more-unit structures: $282,047; mobile homes: $80,008; occupied boats, rvs, vans, etc.: $60,267","March 2019 cost of living index in Vestavia Hills: 89.3 (less than average, U.S. average is 100)"
28,Alabama,Saks-Alabama.html,"Population in 2010: 10,744. Population change since 2000: +0.4%","Males: 5,316  (49.5%)Females: 5,428  (50.5%)",Median resident age:38.2 yearsAlabama median age:38.9 years,Zip codes: 36277.,"Estimated median household income in 2017: $43,399 (it was $37,321 in 2000)
Saks:$43,399AL:$48,123
Estimated per capita income in 2017: $23,196 (it was $18,792 in 2000)
Saks CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $104,658 (it was $65,100 in 2000)
Saks:$104,658AL:$141,300
Mean prices in 2017: all housing units: $136,869; detached houses: $143,912; mobile homes: $77,632","March 2019 cost of living index in Saks: 80.4 (low, U.S. average is 100)"
29,Alabama,Pell-City-Alabama.html,"Population in 2017: 13,676 (73% urban, 27% rural). Population change since 2000: +43.0%","Males: 6,700  (49.0%)Females: 6,976  (51.0%)",Median resident age:38.4 yearsAlabama median age:38.9 years,"Zip codes: 35054, 35125, 35128, 35135.Pell City Zip Code Map","Estimated median household income in 2017: $43,471 (it was $37,250 in 2000)
Pell City:$43,471AL:$48,123
Estimated per capita income in 2017: $26,484 (it was $19,935 in 2000)
Pell City city income, earnings, and wages data
Estimated median house or condo value in 2017: $168,499 (it was $98,800 in 2000)
Pell City:$168,499AL:$141,300
Mean prices in 2017: all housing units: $211,896; detached houses: $218,322; townhouses or other attached units: $230,635; mobile homes: $77,293","March 2019 cost of living index in Pell City: 87.4 (less than average, U.S. average is 100)"
30,Alabama,Fairfield-Alabama.html,"Population in 2017: 10,683 (100% urban, 0% rural). Population change since 2000: -13.7%
 

","Males: 4,390  (41.1%)Females: 6,293  (58.9%)",Median resident age:36.8 yearsAlabama median age:38.9 years,Zip codes: 35064.,"Estimated median household income in 2017: $37,230 (it was $27,845 in 2000)
Fairfield:$37,230AL:$48,123
Estimated per capita income in 2017: $19,977 (it was $14,607 in 2000)
Fairfield city income, earnings, and wages data
Estimated median house or condo value in 2017: $103,324 (it was $70,000 in 2000)
Fairfield:$103,324AL:$141,300
Mean prices in 2017: all housing units: $220,319; detached houses: $224,515; townhouses or other attached units: $186,017; in 2-unit structures: $73,610; in 3-to-4-unit structures: $195,934; in 5-or-more-unit structures: $282,047; mobile homes: $80,008; occupied boats, rvs, vans, etc.: $60,267","March 2019 cost of living index in Fairfield: 86.6 (less than average, U.S. average is 100)"
31,Alabama,Gardendale-Alabama.html,"Population in 2017: 13,906 (96% urban, 4% rural). Population change since 2000: +19.6%
 

","Males: 6,646  (47.8%)Females: 7,260  (52.2%)",Median resident age:41.7 yearsAlabama median age:38.9 years,Zip codes: 35071.,"Estimated median household income in 2017: $64,858 (it was $45,786 in 2000)
Gardendale:$64,858AL:$48,123
Estimated per capita income in 2017: $32,009 (it was $22,673 in 2000)
Gardendale city income, earnings, and wages data
Estimated median house or condo value in 2017: $169,124 (it was $103,900 in 2000)
Gardendale:$169,124AL:$141,300
Mean prices in 2017: all housing units: $220,319; detached houses: $224,515; townhouses or other attached units: $186,017; in 2-unit structures: $73,610; in 3-to-4-unit structures: $195,934; in 5-or-more-unit structures: $282,047; mobile homes: $80,008; occupied boats, rvs, vans, etc.: $60,267","March 2019 cost of living index in Gardendale: 87.3 (less than average, U.S. average is 100)"
32,Alabama,Saraland-Alabama.html,"Population in 2017: 14,576 (90% urban, 10% rural). Population change since 2000: +18.6%
 

","Males: 6,440  (44.2%)Females: 8,136  (55.8%)",Median resident age:38.3 yearsAlabama median age:38.9 years,Zip codes: 36572.,"Estimated median household income in 2017: $57,749 (it was $38,318 in 2000)
Saraland:$57,749AL:$48,123
Estimated per capita income in 2017: $26,325 (it was $19,470 in 2000)
Saraland city income, earnings, and wages data
Estimated median house or condo value in 2017: $143,530 (it was $78,100 in 2000)
Saraland:$143,530AL:$141,300
Mean prices in 2017: all housing units: $168,469; detached houses: $165,722; townhouses or other attached units: $96,835; mobile homes: $32,398","March 2019 cost of living index in Saraland: 83.8 (less than average, U.S. average is 100)"
33,Alabama,Pleasant-Grove-Alabama.html,"Population in 2017: 10,104 (98% urban, 2% rural). Population change since 2000: +1.2%
 

","Males: 4,575  (45.3%)Females: 5,529  (54.7%)",Median resident age:40.7 yearsAlabama median age:38.9 years,Zip codes: 35127.,"Estimated median household income in 2017: $66,584 (it was $52,776 in 2000)
Pleasant Grove:$66,584AL:$48,123
Estimated per capita income in 2017: $28,399 (it was $20,774 in 2000)
Pleasant Grove city income, earnings, and wages data
Estimated median house or condo value in 2017: $162,350 (it was $110,600 in 2000)
Pleasant Grove:$162,350AL:$141,300
Mean prices in 2017: all housing units: $220,319; detached houses: $224,515; townhouses or other attached units: $186,017; in 2-unit structures: $73,610; in 3-to-4-unit structures: $195,934; in 5-or-more-unit structures: $282,047; mobile homes: $80,008; occupied boats, rvs, vans, etc.: $60,267","March 2019 cost of living index in Pleasant Grove: 87.9 (less than average, U.S. average is 100)"
34,Alabama,Clay-Alabama.html,"Population in 2017: 9,599 (94% urban, 6% rural). Population change since 2000: +94.0%","Males: 4,414  (46.0%)Females: 5,185  (54.0%)",Median resident age:44.0 yearsAlabama median age:38.9 years,Zip codes: 35126.,"Estimated median household income in 2017: $76,815 (it was $61,042 in 2000)
Clay:$76,815AL:$48,123
Estimated per capita income in 2017: $33,636 (it was $21,323 in 2000)
Clay CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $164,501 (it was $113,000 in 2000)
Clay:$164,501AL:$141,300
Mean prices in 2017: all housing units: $220,319; detached houses: $224,515; townhouses or other attached units: $186,017; in 2-unit structures: $73,610; in 3-to-4-unit structures: $195,934; in 5-or-more-unit structures: $282,047; mobile homes: $80,008; occupied boats, rvs, vans, etc.: $60,267","March 2019 cost of living index in Clay: 86.8 (less than average, U.S. average is 100)"
